original_title,adult,belongs_to_collection,budget,genres,homepage,id,imdb_id,original_language,overview,popularity,poster_path,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,status,tagline,title,video,vote_average,vote_count
Jaws,False,"{'id': 2366, 'name': 'The Jaws Collection', 'poster_path': '/fgraZdDCvAtBr0MHczmL6raonHd.jpg', 'backdrop_path': '/us13Po7SYoHl9wBNVcz04t0oh7F.jpg'}",7000000,"[{'id': 27, 'name': 'Horror'}, {'id': 53, 'name': 'Thriller'}, {'id': 12, 'name': 'Adventure'}]",http://www.jaws25.com/,578,tt0073195,en,"An insatiable great white shark terrorizes the townspeople of Amity Island, The police chief, an oceanographer and a grizzled shark hunter seek to destroy the bloodthirsty beast.",19.726114,/l1yltvzILaZcx2jYvc5sEMkM7Eh.jpg,"[{'name': 'Universal Pictures', 'id': 33}, {'name': 'Zanuck/Brown Productions', 'id': 1865}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1975-06-18,470654000.0,124.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,Don't go in the water.,Jaws,False,7.5,2628.0
Jaws 2,False,"{'id': 2366, 'name': 'The Jaws Collection', 'poster_path': '/fgraZdDCvAtBr0MHczmL6raonHd.jpg', 'backdrop_path': '/us13Po7SYoHl9wBNVcz04t0oh7F.jpg'}",20000000,"[{'id': 27, 'name': 'Horror'}, {'id': 53, 'name': 'Thriller'}]",,579,tt0077766,en,Police chief Brody must protect the citizens of Amity after a second monstrous shark begins terrorizing the waters.,11.21306,/zzGtimy1mUJYDjFjCmn2dpHREGV.jpg,"[{'name': 'Universal Pictures', 'id': 33}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1978-06-16,187884007.0,116.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,Just when you thought it was safe to go back in the water...,Jaws 2,False,5.9,412.0
Jerry Maguire,False,,50000000,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",,9390,tt0116695,en,"Jerry Maguire used to be a typical sports agent: willing to do just about anything he could to get the biggest possible contracts for his clients, plus a nice commission for himself. Then, one day, he suddenly has second thoughts about what he's really doing. When he voices these doubts, he ends up losing his job and all of his clients, save Rod Tidwell, an egomaniacal football player.",11.807601,/99YTEdKOKDRClsscOpJfdkbaTrQ.jpg,"[{'name': 'Gracie Films', 'id': 18}, {'name': 'TriStar Pictures', 'id': 559}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1996-12-06,273552592.0,139.0,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'pl', 'name': 'Polski'}]",Released,Everybody loved him... Everybody disappeared.,Jerry Maguire,False,6.7,941.0
Raising Arizona,False,,6000000,"[{'id': 35, 'name': 'Comedy'}, {'id': 80, 'name': 'Crime'}]",,378,tt0093822,en,The Coen Brothers tell the story of a absurd yet likable family with an unproductive couple as the focal point. The couple has gotten themselves into some trouble while kidnapping a baby and give Hollywood one of the most memorable chase scenes to date.,14.011415,/jsBg2bhvbSncyezo9sMntMzBuy6.jpg,"[{'name': 'Twentieth Century Fox Film Corporation', 'id': 306}, {'name': 'Circle Films', 'id': 11273}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1987-03-01,29180280.0,94.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,Their lawless years are behind them. Their child-rearing years lay ahead...,Raising Arizona,False,7.2,548.0
Tin Men,False,,0,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]",,10896,tt0094155,en,A minor car accident drives two rival aluminum-siding salesmen to the ridiculous extremes of man versus man in 1963 Baltimore.,6.477975,/7ZbgkUI9fKrv7vCGE16NJVT5xMr.jpg,"[{'name': 'Touchstone Pictures', 'id': 9195}, {'name': 'Silver Screen Partners II', 'id': 10531}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1987-03-06,0.0,112.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,"The Year - 1963. Selling the American Dream is a risky, funny business - you could wind up paying with your wife!",Tin Men,False,6.8,38.0
Scream,False,"{'id': 2602, 'name': 'Scream Collection', 'poster_path': '/3DjOcwfd8cTcKBkWTcNntAZajEg.jpg', 'backdrop_path': '/jPTbJp1601vLu27WhyjhpVk8w0h.jpg'}",14000000,"[{'id': 80, 'name': 'Crime'}, {'id': 27, 'name': 'Horror'}, {'id': 9648, 'name': 'Mystery'}]",,4232,tt0117571,en,"A killer known as Ghostface begins killing off teenagers, and as the body count begins rising, one girl and her friends find themselves contemplating the 'rules' of horror films as they find themselves living in a real-life one.",13.326443,/ewi7gYW22t8T3piRvrXO73GlzuL.jpg,"[{'name': 'Woods Entertainment', 'id': 979}, {'name': 'Dimension Films', 'id': 7405}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1996-12-20,173046663.0,111.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,Someone has taken their love of scary movies one step too far.,Scream,False,7.0,1520.0
The Last of the Mohicans,False,,40000000,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}, {'id': 10749, 'name': 'Romance'}, {'id': 10752, 'name': 'War'}]",,9361,tt0104691,en,"As the English and French soldiers battle for control of the American colonies in the 18th century, the settlers and native Americans are forced to take sides. Cora and her sister Alice unwittingly walk into trouble but are reluctantly saved by Hawkeye, an orphaned settler adopted by the last of the Mohicans.",15.228794,/6FHoUoYrfmwXJsDIR0s8YvV1Ctj.jpg,"[{'name': 'Morgan Creek Productions', 'id': 10210}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1992-09-25,75505856.0,112.0,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'fr', 'name': 'Français'}]",Released,The first American hero.,The Last of the Mohicans,False,7.1,747.0
Metro,False,,55000000,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 35, 'name': 'Comedy'}, {'id': 80, 'name': 'Crime'}, {'id': 53, 'name': 'Thriller'}]",,8860,tt0119664,en,"Roper, a hostage negotiator catches a murderous bank robber after a blown heist. The bank robber escapes and immediately goes after the man who put him behind bars.",10.519481,/5fLP5go9bMQImOZUo72YLcHspau.jpg,"[{'name': 'Caravan Pictures', 'id': 175}, {'name': 'Touchstone Pictures', 'id': 9195}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1997-01-16,31987563.0,117.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,San Francisco's top police hostage negotiator is about to get more than he ever bargained for.,Metro,False,5.3,136.0
Absolute Power,False,,50000000,"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",,66,tt0118548,en,A master thief coincidentally is robbing a house where a murder in which the President of The United States is involved occurs in front of his eyes. He is forced to run yet may hold evidence that could convict the President. A political thriller from and starring Clint Eastwood and based on a novel by David Baldacci.,7.66124,/oJQdp09Oc51DkArsMDvgDLdWiDu.jpg,"[{'name': 'Columbia Pictures', 'id': 5}, {'name': 'Castle Rock Entertainment', 'id': 97}, {'name': 'Malpaso Productions', 'id': 171}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1997-02-14,50068310.0,121.0,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'es', 'name': 'Español'}]",Released,Corrupts Absolutely.,Absolute Power,False,6.4,226.0
Lost Highway,False,,15000000,"[{'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}, {'id': 9648, 'name': 'Mystery'}]",,638,tt0116922,en,"A tormented jazz musician finds himself lost in an enigmatic story involving murder, surveillance, gangsters, doppelgangers, and an impossible transformation inside a prison cell.",8.449722,/z6yhgEzGUJaBBgAxoyggRzwLnVM.jpg,"[{'name': 'Ciby 2000', 'id': 105}, {'name': 'October Films', 'id': 236}, {'name': 'Asymmetrical Productions', 'id': 373}, {'name': 'Lost Highway Productions', 'id': 374}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1997-01-15,3675201.0,134.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,,Lost Highway,False,7.5,572.0
Donnie Brasco,False,,35000000,"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",,9366,tt0119008,en,An FBI undercover agent infilitrates the mob and finds himself identifying more with the mafia life at the expense of his regular one.,12.201954,/xtKLvpOfARi1XVm8u2FTdhY5Piq.jpg,"[{'name': 'TriStar Pictures', 'id': 559}, {'name': 'Mark Johnson Productions', 'id': 2604}, {'name': 'Phoenix Pictures', 'id': 11317}, {'name': 'Baltimore Pictures', 'id': 11407}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1997-02-27,41954997.0,127.0,"[{'iso_639_1': 'ja', 'name': '日本語'}, {'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'it', 'name': 'Italiano'}]",Released,Based on a true story.,Donnie Brasco,False,7.4,1175.0
Crash,False,,10000000,"[{'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}, {'id': 10749, 'name': 'Romance'}]",,884,tt0115964,en,"After getting into a serious car accident, a TV director discovers an underground sub-culture of scarred, omnisexual car-crash victims who use car accidents and the raw sexual energy they produce to try to rejuvenate his sex life with his wife.",7.540612,/4PDLGJsS5uVBQlYjLMZ7t85dU0P.jpg,"[{'name': 'Fine Line Features', 'id': 8}, {'name': 'Alliance Communications', 'id': 579}]","[{'iso_3166_1': 'CA', 'name': 'Canada'}]",1996-07-17,0.0,100.0,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'sv', 'name': 'svenska'}]",Released,Love in the dying moments of the twentieth century,Crash,False,6.5,224.0
Liar Liar,False,,45000000,"[{'id': 35, 'name': 'Comedy'}]",,1624,tt0119528,en,"Fletcher Reede is a fast-talking attorney and habitual liar. When his son Max blows out the candles on his fifth birthday he has just one wish - that his dad will stop lying for 24 hours. When Max's wish comes true, Fletcher discovers that his mouth has suddenly become his biggest liability.",10.102471,/qd8VcWKrE4cNfInl9Osb8o8h9KP.jpg,"[{'name': 'Imagine Entertainment', 'id': 23}, {'name': 'Universal Pictures', 'id': 33}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1997-03-21,302710615.0,86.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,Trust me.,Liar Liar,False,6.4,1456.0
Anna Karenina,False,,35000000,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",,50512,tt0118623,en,Anna (Marceau) is a wife and mother who has an affair with the handsome Count Vronsky (Bean). Based on the novel by Tolstoy.,5.660835,/6TkouR90wy44GGQtYihYNOJffJp.jpg,"[{'name': 'Icon Entertainment International', 'id': 4564}, {'name': 'Warner Bros.', 'id': 6194}, {'name': 'Studio Trite', 'id': 6453}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1997-04-04,791830.0,108.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,"In a world of power and privilege, one woman dared to obey her heart.",Anna Karenina,False,6.4,26.0
Inventing the Abbotts,False,,0,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",,12723,tt0119381,en,"In the 1950s, brothers Jacey and Doug Holt, who come from the poorer side of their sleepy Midwestern town, vie for the affections of the wealthy, lovely Abbott sisters. Lady-killer Jacey alternates between Eleanor and Alice, wanting simply to break the hearts of rich young women. But sensitive Doug has a real romance with Pamela, which Jacey and the Abbott patriarch, Lloyd, both frown upon.",5.063701,/6L1SkHZB7jmMwFCrHMgRGJ9WAPG.jpg,"[{'name': 'Fox 2000 Pictures', 'id': 711}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1997-04-04,5926128.0,110.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,"When you want it all but can't have it, there's only one way to handle life... invent it.",Inventing the Abbotts,False,6.4,43.0
Breakdown,False,,36000000,"[{'id': 18, 'name': 'Drama'}, {'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}]",,2163,tt0118771,en,"When his SUV breaks down on a remote Southwestern road, Jeff Taylor lets his wife, Amy, hitch a ride with a trucker to get help. When she doesn't return, Jeff fixes his SUV and tracks down the trucker -- who tells the police he's never seen Amy. Johnathan Mostow's tense thriller then follows Jeff's desperate search for his wife, which eventually uncovers a small town's murderous secret.",7.926621,/uj5VmM4jrn3HHeuFfEH8XQizA2g.jpg,"[{'name': 'Paramount Pictures', 'id': 4}, {'name': 'Dino De Laurentiis Company', 'id': 10308}, {'name': 'Spelling Films', 'id': 10355}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1997-05-02,50159144.0,95.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,It could happen to you.,Breakdown,False,6.6,202.0
The Fifth Element,False,,90000000,"[{'id': 12, 'name': 'Adventure'}, {'id': 14, 'name': 'Fantasy'}, {'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}, {'id': 878, 'name': 'Science Fiction'}]",,18,tt0119116,en,"In 2257, a taxi driver is unintentionally given the task of saving a young girl who is part of the key that will ensure the survival of humanity.",24.30526,/zaFa1NRZEnFgRTv5OVXkNIZO78O.jpg,"[{'name': 'Columbia Pictures', 'id': 5}, {'name': 'Gaumont', 'id': 9}]","[{'iso_3166_1': 'FR', 'name': 'France'}]",1997-05-07,263920180.0,126.0,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'sv', 'name': 'svenska'}, {'iso_639_1': 'de', 'name': 'Deutsch'}]",Released,There is no future without it.,The Fifth Element,False,7.3,3962.0
Men in Black,False,"{'id': 86055, 'name': 'Men In Black Collection', 'poster_path': '/rWcgZaoJ0nxTFRn0H6w9bdtoDUI.jpg', 'backdrop_path': '/xKz6YaOvmnIJQ3MYIpnaa7FBaAB.jpg'}",90000000,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 35, 'name': 'Comedy'}, {'id': 878, 'name': 'Science Fiction'}]",http://www.sonypictures.com/homevideo/meninblack/,607,tt0119654,en,"Men in Black follows the exploits of agents Kay and Jay, members of a top-secret organization established to monitor and police alien activity on Earth. The two Men in Black find themselves in the middle of the deadly plot by an intergalactic terrorist who has arrived on Earth to assassinate two ambassadors from opposing galaxies. In order to prevent worlds from colliding, the MiB must track down the terrorist and prevent the destruction of Earth. It's just another typical day for the Men in Black.",15.781024,/f24UVKq3UiQWLqGWdqjwkzgB8j8.jpg,"[{'name': 'Amblin Entertainment', 'id': 56}, {'name': 'Columbia Pictures Corporation', 'id': 441}, {'name': 'Parkes+MacDonald Image Nation', 'id': 49325}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1997-07-02,589390539.0,98.0,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'es', 'name': 'Español'}]",Released,Protecting the Earth from the scum of the universe.,Men in Black,False,6.9,4521.0
Conan the Barbarian,False,"{'id': 43055, 'name': 'Conan the Barbarian Collection', 'poster_path': '/vguM8mJmArTn9ePTm8fK0Ryt7EI.jpg', 'backdrop_path': '/lGhx5lQiPJ79piSrXHgN5pSmJjh.jpg'}",20000000,"[{'id': 12, 'name': 'Adventure'}, {'id': 14, 'name': 'Fantasy'}, {'id': 28, 'name': 'Action'}]",,9387,tt0082198,en,"A film adaptation of the classic sword and sorcery hero, Conan the Barbarian. A horde of rampaging warriors massacre the parents of young Conan and enslave the young child for years on The Wheel of Pain. As the sole survivor of the childhood massacre, Conan is released from slavery and taught the ancient arts of fighting. Transforming himself into a killing machine, Conan travels into the wilderness to seek vengeance on Thulsa Doom, the man responsible for killing his family. In the wilderness, Conan takes up with the thieves Valeria and Subotai. The group comes upon King Osric, who wants the trio of warriors to help rescue his daughter who has joined Doom in the hills.",10.52008,/9siMCK6u0TtgDVtCJQGKRQAnAqA.jpg,"[{'name': 'Universal Pictures', 'id': 33}, {'name': 'Dino De Laurentiis Company', 'id': 10308}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1982-04-02,79114085.0,129.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,Thief. Warrior. Gladiator. King.,Conan the Barbarian,False,6.6,663.0
Event Horizon,False,,60000000,"[{'id': 27, 'name': 'Horror'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 9648, 'name': 'Mystery'}]",,8413,tt0119081,en,"In the year 2047 a group of astronauts are sent to investigate and salvage the long lost starship ""Event Horizon"". The ship disappeared mysteriously 7 years before on its maiden voyage and with its return comes even more mystery as the crew of the ""Lewis and Clark"" discover the real truth behind its disappearance and something even more terrifying.",11.335072,/vo02iJLsem3VCJ2TNvSzRiJMpAE.jpg,"[{'name': 'Paramount Pictures', 'id': 4}, {'name': 'Impact Pictures', 'id': 248}, {'name': 'Golar Productions', 'id': 2484}]","[{'iso_3166_1': 'GB', 'name': 'United Kingdom'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",1997-08-15,26673242.0,96.0,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'la', 'name': 'Latin'}]",Released,Infinite Space - Infinite Terror,Event Horizon,False,6.4,752.0
Mimic,False,"{'id': 10721, 'name': 'Mimic Collection', 'poster_path': '/oKG4cGU0hw6ONVyjrS2qECQinrg.jpg', 'backdrop_path': '/AmlJVxC6M1BfZgpgtuBoTg1Jwqq.jpg'}",30000000,"[{'id': 14, 'name': 'Fantasy'}, {'id': 27, 'name': 'Horror'}, {'id': 53, 'name': 'Thriller'}]",,4961,tt0119675,en,"A disease carried by common cockroaches is killing Manhattan children. In an effort to stop the epidemic an entomologist, Susan Tyler, creates a mutant breed of insect that secretes a fluid to kill the roaches. This mutant breed was engineered to die after one generation, but three years later Susan finds out that the species has survived and evolved into a large, gruesome monster that can mimic human form.",9.128905,/tkmSgkekKleTx46a1ERny967Ws5.jpg,"[{'name': 'Miramax Films', 'id': 14}, {'name': 'Dimension Films', 'id': 7405}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1997-08-22,25480490.0,105.0,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'it', 'name': 'Italiano'}]",Released,"For thousands of years, man has been evolution's greatest creation... until now.",Mimic,False,5.7,255.0
Air Force One,False,,85000000,"[{'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}]",,9772,tt0118571,en,"Russian terrorists conspire to hijack the aircraft with the president and his family on board. The commander in chief finds himself facing an impossible predicament: give in to the terrorists and sacrifice his family, or risk everything to uphold his principles - and the integrity of the nation.",12.173291,/zgg8psC8jvNEx5RC4NJ4c9J0KtE.jpg,"[{'name': 'Columbia Pictures Corporation', 'id': 441}, {'name': 'Beacon Communications', 'id': 919}, {'name': 'Radiant Productions', 'id': 18990}]","[{'iso_3166_1': 'DE', 'name': 'Germany'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",1997-07-25,315156409.0,124.0,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'ru', 'name': 'Pусский'}]",Released,The fate of a nation rests on the courage of one man.,Air Force One,False,6.2,859.0
The Hunt for Red October,False,"{'id': 192492, 'name': 'The Jack Ryan Collection', 'poster_path': '/uCuiExsQDyJagov5aVAyw38YEm.jpg', 'backdrop_path': '/qYlcVBifq5T4wyWV00a5Awq0kUi.jpg'}",30000000,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 53, 'name': 'Thriller'}]",http://www.paramount.com/movies/hunt-red-october,1669,tt0099810,en,"A new Soviet nuclear missile sub (a Boomer) heading out on her maiden voyage that is being tracked by a Los Angeles class American submarine suddenly goes silent and ""disappears"". This focuses the attention of both U.S. Intelligence and the U.S. Navy on the Russian Sub Commander .  When it is determined that the silent Soviet Boomer may be headed for American coastal waters panic ensues. A CIA analyst, Jack Ryan,  convinces the brass that the Boomer's commander may intend something other than a nuclear first strike in mind. A perilous and tense cat-and-mouse game ensues.",15.91126,/bqvlKYlWq2uibsuVzKTWseeccd2.jpg,"[{'name': 'Paramount Pictures', 'id': 4}, {'name': 'Nina Saxon Film Design', 'id': 1693}, {'name': 'Mace Neufeld Productions', 'id': 2767}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1990-03-02,199200000.0,134.0,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'ru', 'name': 'Pусский'}]",Released,Invisible. Silent. Stolen.,The Hunt for Red October,False,7.2,971.0
The Game,False,,50000000,"[{'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}, {'id': 9648, 'name': 'Mystery'}]",,2649,tt0119174,en,"In honor of his birthday, San Francisco banker Nicholas Van Orton, a financial genius and a coldhearted loner, receives an unusual present from his younger brother, Conrad -- a gift certificate to play a unique kind of game. In nearly a nanosecond, Nicholas finds himself consumed by a dangerous set of ever-changing rules, unable to distinguish where the charade ends and reality begins.",14.825587,/4b7QXyDJsDFXrwVHUNlrmezCZJC.jpg,"[{'name': 'PolyGram Filmed Entertainment', 'id': 1382}, {'name': 'A&B Producoes', 'id': 1519}, {'name': 'Popaganda Films', 'id': 10164}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1997-09-12,109423648.0,129.0,"[{'iso_639_1': 'cn', 'name': '广州话 / 廣州話'}, {'iso_639_1': 'de', 'name': 'Deutsch'}, {'iso_639_1': 'en', 'name': 'English'}]",Released,What do you get for the man who has everything?,The Game,False,7.5,1556.0
U Turn,False,,19000000,"[{'id': 53, 'name': 'Thriller'}]",,10155,tt0120399,en,"When Bobby's car breaks down in the desert while on the run from some of the bookies who have already taken two of his fingers, he becomes trapped in the nearby small town where the people are stranger than anyone he's encountered. After becoming involved with a young married woman, her husband hires Bobby to kill her. Later, she hires Bobby to kill the husband.",7.923639,/mG4GerNC6ZVnsFTXcsTeKuj8OG.jpg,"[{'name': 'Illusion Entertainment Group', 'id': 3480}, {'name': 'Phoenix Pictures', 'id': 11317}, {'name': 'Clyde Is Hungry Films', 'id': 12263}, {'name': 'Canal+ Droits Audiovisuels', 'id': 53473}]","[{'iso_3166_1': 'FR', 'name': 'France'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",1997-10-03,6682098.0,125.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,Expect the Unexpected.,U Turn,False,6.5,185.0
The Assignment,False,,0,"[{'id': 53, 'name': 'Thriller'}, {'id': 28, 'name': 'Action'}, {'id': 80, 'name': 'Crime'}]",,18355,tt0118647,en,"Jack Shaw (DONALD SUTHERLAND) has experienced the terror first-hand. He's a top CIA agent who's tracked international killer-for-hire Carlos ""The Jackal"" Sanchez for over twenty years and barely survived Carlos' devastating bombing of a Parisian cafe. Now, he finally gets a break when he discovers Carlos' dead ringer: American naval officer and dedicated family man Annibal Ramirez (AIDAN QUINN).",4.233187,/suCKdjHJMKjwnrZdrIdRi2gEU6x.jpg,"[{'name': 'The Movie Network (TMN)', 'id': 3388}, {'name': 'Allegro Films', 'id': 4899}, {'name': 'Canadian Film or Video Production Tax Credit (CPTC)', 'id': 8582}, {'name': 'Super Écran', 'id': 11578}, {'name': 'Gouvernement du Québec', 'id': 13306}, {'name': 'Triumph Films', 'id': 23098}, {'name': 'Satch-Mo', 'id': 24721}, {'name': 'Program de Credits of Impuc', 'id': 25063}]","[{'iso_3166_1': 'CA', 'name': 'Canada'}]",1997-09-28,0.0,119.0,"[{'iso_639_1': 'fr', 'name': 'Français'}]",Released,,The Assignment,False,6.6,41.0
The Ice Storm,False,,18000000,"[{'id': 18, 'name': 'Drama'}]",,68924,tt0119349,en,"In the weekend after thanksgiving 1973 the Hoods are skidding out of control. Benjamin Hood reels from drink to drink, trying not to think about his trouble at the office. His wife, Elena, is reading self help books and losing patience with her husband's lies. Their son, Paul, home for the holidays, escapes to the city to pursue an alluring rich girl from his prep school. Young, budding nymphomaniac, Wendy Hood roams the neighborhood, innocently exploring liquor cabinets and lingerie drawers of her friends' parents, looking for something new. Then an ice storm hits, the worst in a century.",7.146352,/e3j1Pn67bWos1pnBDE9GJNeAtcT.jpg,"[{'name': 'Fox Searchlight Pictures', 'id': 43}, {'name': 'Good Machine', 'id': 10565}, {'name': 'Canal+ Droits Audiovisuels', 'id': 53473}]","[{'iso_3166_1': 'FR', 'name': 'France'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",1997-09-27,8038061.0,112.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,"It was 1973, and the climate was changing.",The Ice Storm,False,6.9,181.0
Chasing Amy,False,,250000,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",http://www.viewaskew.com/chasingamy/,2255,tt0118842,en,"Holden and Banky are comic book artists. Everything is going good for them until they meet Alyssa, also a comic book artist. Holden falls for her, but his hopes are crushed when he finds out she's a lesbian.",12.311564,/4vFJileWrCGaBeobCmF0tXpQCUb.jpg,"[{'name': 'Miramax Films', 'id': 14}, {'name': 'View Askew Productions', 'id': 16934}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1997-04-04,12021272.0,113.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,It's not who you love. It's how.,Chasing Amy,False,6.7,441.0
Mrs Brown,False,,0,"[{'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}, {'id': 10749, 'name': 'Romance'}]",,17589,tt0119280,en,"Queen Victoria is deeply depressed after the death of her husband, disappearing from public. Her servant Brown, who adores her, through caress and admiration brings her back to life, but that relationship creates scandalous situation and is likely to lead to monarchy crisis.",3.883913,/3XeSsWhorN1KncOKnWThGx4nyV3.jpg,"[{'name': 'Miramax Films', 'id': 14}, {'name': 'WGBH', 'id': 3449}, {'name': 'BBC Scotland', 'id': 3712}, {'name': 'Mobile Masterpiece Theatre', 'id': 3713}]","[{'iso_3166_1': 'IE', 'name': 'Ireland'}, {'iso_3166_1': 'GB', 'name': 'United Kingdom'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",1997-07-18,0.0,105.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,Loyalty without question. Friendship without equal.,Mrs Brown,False,6.6,45.0
Gattaca,False,,36000000,"[{'id': 53, 'name': 'Thriller'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 9648, 'name': 'Mystery'}, {'id': 10749, 'name': 'Romance'}]",,782,tt0119177,en,"Science fiction drama about a future society in the era of indefinite eugenics where humans are set on a life course depending on their DNA. The young Vincent Freeman is born with a condition that would prevent him from space travel, yet he is determined to infiltrate the GATTACA space program.",12.89312,/gPYtuvhQvP7v5F1Tqt2iQWR3Y7i.jpg,"[{'name': 'Columbia Pictures', 'id': 5}, {'name': 'Jersey Films', 'id': 216}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1997-09-07,12532777.0,106.0,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'eo', 'name': 'Esperanto'}]",Released,There is no gene for the human spirit.,Gattaca,False,7.5,1846.0
Gang Related,False,,0,"[{'id': 28, 'name': 'Action'}, {'id': 18, 'name': 'Drama'}]",,14398,tt0118900,en,"Two corrupt cops have a successful, seemingly perfect money making scheme- they sell drugs that they seize from dealers, kill the dealers, and blame the crimes on street gangs. Their scheme is going along smoothly until they kill an undercover DEA agent posing as a dealer, and then try to cover-up their crime.",2.592927,/fxlSIqCkZSttymnSvL6RHHmr0Fh.jpg,"[{'name': 'Orion Pictures', 'id': 41}, {'name': 'Kouf/Bigelow Productions', 'id': 3589}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1997-10-08,5790448.0,102.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,Some cops play by the rules. Their own.,Gang Related,False,6.5,32.0
